Name,Rating,Directed By,Runtime,Studio,TOMATOMETER score,TOMATOMETER Count,AUDIENCE score,AUDIENCE count
Night School," PG-13 (for crude and sexual content throughout, language, some drug references and violence)", Malcolm D. Lee,   111 minutes    , Universal Pictures  ,  27%    ,    138  ,  39%    ," 2,371"
The Rider, R (for language and drug use), Chloé Zhao,   104 minutes    , Sony Pictures Classics  ,  97%    ,    176  ,  82%    ," 1,986"
Bad Times at the El Royale," R (for strong violence, language, some drug content and brief nudity)", Drew Goddard,   140 minutes    , 20th Century Fox  ,  75%    ,    243  ,  73%    ," 5,529"
Hell Fest," R (for horror violence, and language including some sexual references)", Gregory Plotkin,   105 minutes    , Tucker Tooley Entertainment  ,  41%    ,    64  ,  40%    , 821
Eating Animals, NR, Christopher Dillon Quinn,   95 minutes    , IFC Films  ,  91%    ,    45  ,  74%    , 346
Far From the Tree, NR, Rachel Dretzin,   93 minutes    , Sundance Selects  ,  90%    ,    40  ,  94%    , 290
What They Had, R (for language including a brief sexual reference), Elizabeth Chomko,   101 minutes    , Bleecker Street  ,  87%    ,    111  ,  83%    , 640
Bad Reputation," R (for language, sexual references, some drug use and brief nudity)", Kevin Kerslake,   95 minutes    , Magnolia Pictures  ,  78%    ,    36  ,  86%    , 135
Monsters and Men, R (for language), Reinaldo Marcus Green,   98 minutes    , NEON  ,  86%    ,    76  ,  74%    , 488
Spiral, NR, Laura Fairrie,   79 minutes    , Cohen Media Group  ,  40%    ,    10  ,  62%    , 42
People's Republic of Desire, NR, Hao Wu,   94 minutes    , Tripod Media  ,  97%    ,    32  ,  74%    , 195
State Like Sleep, NR, Meredith Danluck,   104 minutes    , The Orchard  ,  38%    ,    29  ,  18%    , 97
Buffalo Boys, NR, Mike Wiluan,   103 minutes    , Samuel Goldwyn Films  ,  79%    ,    33  ,  43%    , 101
Lifechanger, NR, Justin McConnell,   84 minutes    , Uncork'd Entertainment  ,  86%    ,    21  ,  64%    , 55
Mid90s," R (for pervasive language, sexual content, drug and alcohol use, some violent behavior/disturbing images - - all involving minors)", Jonah Hill,   84 minutes    , A24  ,  81%    ,    221  ,  80%    ," 2,597"
The Oath," R (for language throughout, violence and some drug use)", Ike Barinholtz,   93 minutes    , Roadside Attractions  ,  63%    ,    86  ,  39%    , 421
Pledge, NR, Daniel Robbins,   78 minutes    , IFC Midnight  ,  76%    ,    29  ,  70%    , 641
The Bouncer (Lukas)," R (for violence, language and brief nudity/sexuality.)", Julien Leclercq,   82 minutes    , Blue Fox Entertainment  ,  80%    ,    5  ,  48%    , 87
Once Upon a Deadpool," PG-13 (for intense sequences of violence and action, crude sexual content, language, thematic elements and brief drug material)", David Leitch,   116 minutes    , 20th Century Fox  ,  53%    ,    58  ,  53%    ," 1,087"
Ashes in the Snow, NR, Marius A. Markevicius,   99 minutes    , Vertical Entertainment  ,  50%    ,    14  ,  85%    , 352
Sgt. Will Gardner, NR, Max Martini,   125 minutes    , Cinedigm  ,  22%    ,    9  ,  89%    , 246
Rockaway, NR, John J. Budion,   83 minutes    , Paladin  ,  64%    ,    11  ,  96%    , 91
Outlaws, R, Stephen McCallum,   92 minutes    , See Pictures  ,  30%    ,    10  ,  38%    , 12
The Last Laugh, NR, Greg Pritikin,   98 minutes    , Netflix  ,  53%    ,    15  ,  37%    , 136
The Meg," PG-13 (for action/peril, bloody images and some language)", Jon Turteltaub,   114 minutes    , Warner Bros. Pictures  ,  46%    ,    290  ,  42%    ," 6,661"
Alpha, PG-13 (for some intense peril), Albert Hughes,   97 minutes    , Sony Pictures  ,  80%    ,    130  ,  71%    ," 3,854"
The Domestics, R (for strong bloody violence and language throughout.), Mike P. Nelson,   95 minutes    , Orion Classics  ,  100%    ,    5  ,  48%    , 492
The Third Murder (Sandome no satsujin), NR, Hirokazu Koreeda,   124 minutes    , Fuji IG Laboratory for Movies  ,  86%    ,    80  ,  67%    , 255
The Captain (Der Hauptmann), NR, Robert Schwentke,   118 minutes    , Music Box Films  ,  83%    ,    53  ,  82%    , 615
The Children Act, R (for a sexual reference), Richard Eyre,   105 minutes    , A24 and DIRECTV  ,  73%    ,    109  ,  62%    , 643
The Rape Of Recy Taylor, NR, Nancy Buirski,   91 minutes    , Augusta Films  ,  94%    ,    34  ,  71%    , 114
Anchor and Hope, NR, Carlos Marques-Marcet,   113 minutes    , Wolfe Releasing  ,  75%    ,    28  ,  71%    , 105
Crazy Rich Asians, PG-13 (for some suggestive content and language), Jon M. Chu,   120 minutes    , Warner Bros. Pictures  ,  91%    ,    342  ,  76%    ," 12,483"
Kin," PG-13 (for gun violence and intense action, suggestive material, language, thematic elements and drinking)"," Jonathan Baker,  Josh Baker",   102 minutes    , Lionsgate  ,  33%    ,    90  ,  54%    , 770
Skate Kitchen," R (for drug use and language throughout, strong sexual content, and some nudity - all involving teens)", Crystal Moselle,   106 minutes    , Magnolia Pictures  ,  90%    ,    89  ,  76%    , 419
"Juliet, Naked", R (for language), Jesse Peretz,   98 minutes    , Lionsgate and Roadside Attractions  ,  83%    ,    161  ,  74%    ," 1,218"
We the Animals," R (for strong sexual content, nudity, language and some underage drug and alcohol use)", Jeremiah Zagar,   92 minutes    , The Orchard  ,  93%    ,    96  ,  76%    , 688
Searching," PG-13 (for thematic content, some drug and sexual references, and for language)", Aneesh Chaganty,   101 minutes    , Screen Gems  ,  92%    ,    243  ,  87%    ," 6,593"
Blindspotting," R (for language throughout, some brutal violence, sexual references and drug use)", Carlos Lopez Estrada,   95 minutes    , Foley Walkers Studio  ,  94%    ,    166  ,  86%    ," 2,258"
The Long Dumb Road," R (for pervasive language, sexual content and some drug use)", Hannah Fidell,   90 minutes    , The Film Arcade  ,  73%    ,    26  ,  54%    , 145
Dog Days," PG (for rude and suggestive content, and for language)", Ken Marino,   112 minutes    , LD Entertainment  ,  63%    ,    67  ,  77%    , 562
The Tribe (La tribu), NR, Fernando Colomo,   90 minutes    , Netflix  ,  71%    ,    7  ,  39%    , 30
Number 37 (Nommer 37), NR, Nosipho Dumisa,   100 minutes    , Dark Star Pictures  ,  100%    ,    14  ,  75%    , 164
Jinn, NR, Nijla Mu'min,   91 minutes    , Orion Classics  ,  95%    ,    21  ,  84%    , 149
Blood Brother," R (for strong violence, language throughout, some drug use and sexual content)", John Pogue,   85 minutes    , Codeblack Entertainment  ,  17%    ,    6  ,  84%    , 83
Happy as Lazzaro (Lazzaro felice), NR (for thematic elements and brief violence), Alice Rohrwacher,   130 minutes    , RAI Cinema  ,  90%    ,    84  ,  81%    , 322
A Christmas Prince: The Royal Wedding, NR, John Schultz,   92 minutes    , Netflix  ,  50%    ,    16  ,  33%    , 127
The Ballad of Buster Scruggs, R (for some strong violence)," Joel Coen,  Ethan Coen",   132 minutes    , Netflix  ,  91%    ,    218  ,  77%    ," 3,320"
The Christmas Chronicles, NR, Clay Kaytis,   104 minutes    , Netflix  ,  65%    ,    54  ,  77%    ," 1,242"
Papillon," R (for violence including bloody images, language, nudity, and some sexual material)", Michael Noer,   136 minutes    , Bleecker Street  ,  52%    ,    106  ,  66%    ," 1,179"
Death House," R (for strong horror violence and gore throughout, language, sexual references and nudity)", Harrison Smith,   95 minutes    , Hannover House  ,  40%    ,    5  ,  42%    , 208
Claire's Camera (La caméra de Claire), NR, Hong Sang-soo,   69 minutes    , Cinema Guild  ,  88%    ,    50  ,  59%    , 162
The Delinquent Season, NR, Mark O'Rowe,   104 minutes    , Blue Fox Entertainment  ,  73%    ,    11  ,  73%    , 77
Outlaw King," R (for sequences of brutal war violence some sexuality, language and brief nudity)", David Mackenzie,   117 minutes    , Netflix  ,  61%    ,    148  ,  67%    ," 1,373"
Christopher Robin, PG (for some action), Marc Forster,   120 minutes    , Walt Disney Pictures  ,  73%    ,    265  ,  83%    ," 5,632"
Gauguin: Voyage to Tahiti, NR, Edouard Deluc,   102 minutes    , Cohen Media Group  ,  42%    ,    33  ,  35%    , 106
Destination Wedding, R (for language throughout and sexual content), Victor Levin,   90 minutes    , Regatta  ,  53%    ,    83  ,  58%    , 788
Time Trap, NR," Mark Dennis,  Ben Foster",   87 minutes    , Paladin  ,  60%    ,    10  ,  71%    , 561
Room For Rent, NR, Matthew Atkinson,   89 minutes    , Gunpowder & Sky  ,  88%    ,    8  ,  52%    , 164
Final Score, R (for strong violence and language throughout), Scott Mann,   104 minutes    , Saban Films  ,  69%    ,    32  ,  37%    , 283
Daughters of the Sexual Revolution: The Untold Story of the Dallas Cowboys Cheerleaders, NR, Dana Adam Shapiro,   86 minutes    , Gravitas Ventures  ,  83%    ,    6  ,  89%    , 82
Unlovable, NR, Suzi Yoonessi,   82 minutes    , Orion Classics  ,  81%    ,    16  ,  72%    , 102
The New Romantic, NR, Carly Stone,   82 minutes    , The Orchard  ,  62%    ,    29  ,  42%    , 133
BlacKkKlansman," R (for language throughout, including racial epithets, and for disturbing/violent material and some sexual references)", Spike Lee,   135 minutes    , Focus Features  ,  96%    ,    418  ,  82%    ," 10,719"
In a Relationship, NR, Sam Boyd,   92 minutes    , Vertical Entertainment  ,  60%    ,    15  ,  38%    , 147
Every Act of Life, NR, Jeff Kaufman,   92 minutes    , Floating World Pictures  ,  89%    ,    9  ,  100%    , 12
Look Away, NR, Assaf Bernstein,   103 minutes    , Vertical Entertainment  ,  17%    ,    12  ,  54%    , 387
The Last Sharknado: It's About Time, NR, Anthony C. Ferrante,   120 minutes    , Syfy Films  ,  27%    ,    11  ,  36%    , 96
The Other Side of the Wind," R (for sexual content, graphic nudity and some language)", Orson Welles,   122 minutes    , Netflix  ,  83%    ,    93  ,  58%    , 319
Lasso, NR, Evan Cecil,   92 minutes    , Dragonfly Films  ,  63%    ,    8  ,  75%    , 15
They'll Love Me When I'm Dead, NR, Morgan Neville,   98 minutes    , Netflix  ,  92%    ,    37  ,  81%    , 166
Lez Bomb, NR, Jenna Laurenzo,   90 minutes    , Gravitas Ventures  ,  89%    ,    9  ,  68%    , 154
Intensive Care, NR, Jared Bentley,   80 minutes    , Engenius Productions  ,  80%    ,    5  ,  25%    , 15
Pimp, R," Nov 9, 2018 limited",   86 minutes    , 1821 Pictures  ,  56%    ,    9  ,  96%    , 456
John Leguizamo's Latin History for Morons, NR, Ben DeJesus,   90 minutes    , Netflix  ,  100%    ,    7  ,  76%    , 138
Mowgli: Legend of the Jungle," PG-13 (for intense sequences of action violence including bloody images, and some thematic elements)", Andy Serkis,   104 minutes    , Netflix  ,  53%    ,    102  ,  52%    ," 1,797"
Mission: Impossible - Fallout," PG-13 (for violence and intense sequences of action, and for brief strong language)", Christopher McQuarrie,   147 minutes    , Paramount Pictures  ,  97%    ,    415  ,  87%    ," 15,721"
God Bless the Broken Road, PG (for thematic elements and some combat action), Harold Cronk,   113 minutes    , Freestyle Releasing.  ,  17%    ,    12  ,  77%    , 245
The Nun," R (for terror, violence, and disturbing/bloody images)", Corin Hardy,   96 minutes    , Warner Bros. Pictures  ,  26%    ,    194  ,  35%    ," 6,805"
Pope Francis - A Man of His Word, PG (for thematic material including images of suffering.), Wim Wenders,   96 minutes    , Focus Features  ,  83%    ,    75  ,  76%    , 433
Where Hands Touch," PG-13 (for thematic elements, violence/disturbing images, sexuality and language)", Amma Asante,   122 minutes    , Vertical Entertainment  ,  40%    ,    47  ,  69%    , 256
DriverX, NR, Henry Barrial,   98 minutes    , Sundance Selects  ,  44%    ,    9  ,  88%    , 82
Newly Single, NR, Adam Christian Clark,   95 minutes    , Gravitas Ventures  ,  88%    ,    8  ,  83%    , 40
Clara's Ghost, NR, Bridey Elliott,   93 minutes    , Orion Classics  ,  74%    ,    31  ,  31%    , 39
Tyrel, NR," Dec 5, 2018 limited",   86 minutes    , Magnolia Pictures  ,  60%    ,    50  ,  32%    , 126
Pick of the Litter, NR," Dana Nachman,  Don Hardy",   81 minutes    , Sundance Selects  ,  97%    ,    64  ,  91%    , 508
Time Share (Tiempo Compartido), NR, Sebastian Hofmann,   96 minutes    , Netflix  ,  95%    ,    20  ,  52%    , 112
The Miseducation of Cameron Post, NR, Desiree Akhavan,   90 minutes    , FilmRise  ,  86%    ,    180  ,  76%    ," 1,493"
Beautifully Broken," PG-13 (for mature thematic content involving violence and disturbing images, and some drub material)", Eric Welch,   108 minutes    , ArtAffects Entertainment  ,  67%    ,    6  ,  92%    , 236
What Keeps You Alive," R (for violence including bloody images, language, and brief nudity)", Colin Minihan,   100 minutes    , IFC Films  ,  82%    ,    45  ,  51%    , 548
Back Roads, NR, Alex Pettyfer,   101 minutes    , Samuel Goldwyn Films  ,  68%    ,    22  ,  99%    ," 1,862"
McQueen, NR, Ian Bonhôte,   111 minutes    , Bleecker Street  ,  99%    ,    118  ,  78%    , 838
Ghostbox Cowboy, NR, John Maringouin,   110 minutes    , Dark Star Pictures  ,  91%    ,    11  ,  50%    , 71
The American Meme, NR, Bert Marcus,   90 minutes    , Netflix  ,  94%    ,    31  ,  97%    ," 1,366"
Await Further Instructions, NR, Johnny Kevorkian,   91 minutes    , Dark Sky Films  ,  80%    ,    20  ,  27%    , 574
Swimming with Men, NR, Oliver Parker,   97 minutes    , Sundance Selects  ,  55%    ,    44  ,  55%    , 119
Viking Destiny (Of Gods and Warriors)," R (for bloody violence, and some sexuality/nudity)", David L.G. Hughes,   90 minutes    , Saban Films  ,  13%    ,    8  ,  32%    , 60
Divide and Conquer: The Story of Roger Ailes, NR, Alexis Bloom,   107 minutes    , Magnolia Pictures  ,  90%    ,    50  ,  79%    , 124
You Might Be the Killer, NR, Brett A. Simmons,   88 minutes    , Curmudgeon Films  ,  59%    ,    17  ,  51%    , 112
Hospitality, NR," Nick Chakwin,  David Guglielmo",   80 minutes    , Kandoo Films  ,  20%    ,    5  ,  44%    , 19
Bob Lazar: Area 51 & Flying Saucers, NR, Jeremy Kenyon Lockyer Corbell,   97 minutes    , The Orchard  ,  20%    ,    5  ,  38%    , 144
The Night Comes For Us, NR, Timo Tjahjanto,   121 minutes    , Netflix  ,  90%    ,    29  ,  84%    , 883
Ant-Man and the Wasp, PG-13 (for some sci-fi action violence), Peyton Reed,   118 minutes    , Walt Disney Pictures  ,  88%    ,    417  ,  76%    ," 24,280"
Incredibles 2, PG (for action sequences and some brief mild language), Brad Bird,   118 minutes    , Disney/Pixar  ,  94%    ,    370  ,  84%    ," 18,111"
Mile 22, R (strong violence and language throughout), Peter Berg,   90 minutes    , STXfilms  ,  23%    ,    184  ,  44%    ," 2,680"
God Knows Where I Am, NR," Jedd Wider,  Todd Wider",   102 minutes    , Wider Film Projects  ,  85%    ,    26  ,  87%    , 235
Slender Man," PG-13 (for disturbing images sequences of terror, thematic elements and language including some crude sexual references)", Sylvain White,   93 minutes    , Screen Gems  ,  6%    ,    77  ,  17%    ," 2,429"
The Darkest Minds," PG-13 (for violence including disturbing images, and thematic elements)", Jennifer Yuh Nelson,   105 minutes    , 20th Century Fox  ,  16%    ,    136  ,  73%    ," 2,721"
The Spy Who Dumped Me," R (for violence, language throughout, some crude sexual material and graphic nudity)", Susanna Fogel,   116 minutes    , Lionsgate  ,  49%    ,    204  ,  57%    ," 3,540"
55 Steps, PG-13 (for some thematic elements/disturbing images), Bille August,   115 minutes    , Sony Pictures  ,  50%    ,    8  ,  85%    , 96
Transformer, NR, Michael Del Monte,   78 minutes    , Gravitas Ventures  ,  100%    ,    11  ,  96%    , 121
Teen Titans Go! To the Movies, PG (for action and rude humor)," Aaron Horvath,  Peter Rida Michail",   92 minutes    , Warner Bros. Pictures  ,  91%    ,    127  ,  72%    ," 3,461"
Shirkers, NR, Sandi Tan,   96 minutes    , Netflix  ,  100%    ,    64  ,  78%    , 384
Mandy, NR, Panos Cosmatos,   120 minutes    , RLJE Films  ,  90%    ,    235  ,  66%    ," 4,110"
Sorry to Bother You," R (for pervasive language, some strong sexual content, graphic nudity, and drug use)", Boots Riley,   105 minutes    , Annapurna Pictures  ,  93%    ,    294  ,  70%    ," 6,000"
Dovlatov, NR, Alexey German,   126 minutes    , Netflix  ,  79%    ,    14  ,  58%    , 66
The Bill Murray Stories: Life Lessons Learned from a Mythical Man, NR, Tommy Avallone,   70 minutes    , Gravitas Ventures  ,  95%    ,    19  ,  77%    , 293
Thunder Road, NR," Oct 19, 2018 limited",   91 minutes    , Vanishing Angle  ,  96%    ,    80  ,  93%    ," 1,193"
